datetime,customers_in_store,hour
2025-01-07 19:00:00,87,19
2025-01-07 20:00:00,87,20
2025-01-07 21:00:00,59,21
2025-01-07 22:00:00,55,22
2025-01-07 23:00:00,50,23
2025-01-08 00:00:00,46,0
2025-01-08 01:00:00,48,1
2025-01-08 02:00:00,61,2
2025-01-08 03:00:00,66,3
2025-01-08 04:00:00,53,4
2025-01-08 05:00:00,45,5
2025-01-08 06:00:00,54,6
2025-01-08 07:00:00,39,7
2025-01-08 08:00:00,35,8
2025-01-08 09:00:00,49,9
2025-01-08 10:00:00,47,10
2025-01-08 11:00:00,61,11
2025-01-08 12:00:00,72,12
2025-01-08 13:00:00,58,13
2025-01-08 14:00:00,54,14
2025-01-08 15:00:00,47,15
2025-01-08 16:00:00,47,16
2025-01-08 17:00:00,96,17
2025-01-08 18:00:00,88,18
2025-01-08 19:00:00,80,19
2025-01-08 20:00:00,75,20
2025-01-08 21:00:00,40,21
2025-01-08 22:00:00,55,22
2025-01-08 23:00:00,69,23
2025-01-09 00:00:00,45,0
2025-01-09 01:00:00,37,1
2025-01-09 02:00:00,53,2
2025-01-09 03:00:00,49,3
2025-01-09 04:00:00,52,4
2025-01-09 05:00:00,33,5
2025-01-09 06:00:00,49,6
2025-01-09 07:00:00,45,7
2025-01-09 08:00:00,49,8
2025-01-09 09:00:00,52,9
2025-01-09 10:00:00,54,10
2025-01-09 11:00:00,66,11
2025-01-09 12:00:00,74,12
2025-01-09 13:00:00,81,13
2025-01-09 14:00:00,52,14
2025-01-09 15:00:00,63,15
2025-01-09 16:00:00,33,16
2025-01-09 17:00:00,87,17
2025-01-09 18:00:00,92,18
2025-01-09 19:00:00,98,19
2025-01-09 20:00:00,88,20
2025-01-09 21:00:00,58,21
2025-01-09 22:00:00,49,22
2025-01-09 23:00:00,67,23
2025-01-10 00:00:00,44,0
2025-01-10 01:00:00,52,1
2025-01-10 02:00:00,40,2
2025-01-10 03:00:00,50,3
2025-01-10 04:00:00,50,4
2025-01-10 05:00:00,51,5
2025-01-10 06:00:00,60,6
2025-01-10 07:00:00,41,7
2025-01-10 08:00:00,56,8
2025-01-10 09:00:00,54,9
2025-01-10 10:00:00,41,10
2025-01-10 11:00:00,67,11
2025-01-10 12:00:00,68,12
2025-01-10 13:00:00,81,13
2025-01-10 14:00:00,50,14
2025-01-10 15:00:00,48,15
2025-01-10 16:00:00,50,16
2025-01-10 17:00:00,90,17
2025-01-10 18:00:00,93,18
2025-01-10 19:00:00,77,19
2025-01-10 20:00:00,81,20
2025-01-10 21:00:00,41,21
2025-01-10 22:00:00,43,22
2025-01-10 23:00:00,61,23
2025-01-11 00:00:00,53,0
2025-01-11 01:00:00,43,1
2025-01-11 02:00:00,42,2
2025-01-11 03:00:00,42,3
2025-01-11 04:00:00,40,4
2025-01-11 05:00:00,43,5
2025-01-11 06:00:00,50,6
2025-01-11 07:00:00,53,7
2025-01-11 08:00:00,36,8
2025-01-11 09:00:00,57,9
2025-01-11 10:00:00,43,10
2025-01-11 11:00:00,67,11
2025-01-11 12:00:00,72,12
2025-01-11 13:00:00,69,13
2025-01-11 14:00:00,31,14
2025-01-11 15:00:00,50,15
2025-01-11 16:00:00,40,16
2025-01-11 17:00:00,91,17
2025-01-11 18:00:00,85,18
2025-01-11 19:00:00,83,19
2025-01-11 20:00:00,92,20
2025-01-11 21:00:00,56,21
2025-01-11 22:00:00,38,22
2025-01-11 23:00:00,52,23
2025-01-12 00:00:00,49,0
2025-01-12 01:00:00,45,1
2025-01-12 02:00:00,53,2
2025-01-12 03:00:00,52,3
2025-01-12 04:00:00,39,4
2025-01-12 05:00:00,44,5
2025-01-12 06:00:00,43,6
2025-01-12 07:00:00,38,7
2025-01-12 08:00:00,40,8
2025-01-12 09:00:00,57,9
2025-01-12 10:00:00,42,10
2025-01-12 11:00:00,83,11
2025-01-12 12:00:00,71,12
2025-01-12 13:00:00,76,13
2025-01-12 14:00:00,46,14
2025-01-12 15:00:00,50,15
2025-01-12 16:00:00,40,16
2025-01-12 17:00:00,85,17
2025-01-12 18:00:00,82,18
2025-01-12 19:00:00,91,19
2025-01-12 20:00:00,86,20
2025-01-12 21:00:00,46,21
2025-01-12 22:00:00,45,22
2025-01-12 23:00:00,56,23
2025-01-13 00:00:00,49,0
2025-01-13 01:00:00,47,1
2025-01-13 02:00:00,40,2
2025-01-13 03:00:00,64,3
2025-01-13 04:00:00,51,4
2025-01-13 05:00:00,41,5
2025-01-13 06:00:00,43,6
2025-01-13 07:00:00,42,7
2025-01-13 08:00:00,53,8
2025-01-13 09:00:00,47,9
2025-01-13 10:00:00,48,10
2025-01-13 11:00:00,69,11
2025-01-13 12:00:00,69,12
2025-01-13 13:00:00,75,13
2025-01-13 14:00:00,44,14
2025-01-13 15:00:00,47,15
2025-01-13 16:00:00,61,16
2025-01-13 17:00:00,93,17
2025-01-13 18:00:00,81,18
2025-01-13 19:00:00,92,19
2025-01-13 20:00:00,100,20
2025-01-13 21:00:00,41,21
2025-01-13 22:00:00,44,22
2025-01-13 23:00:00,47,23
2025-01-14 00:00:00,40,0
2025-01-14 01:00:00,41,1
2025-01-14 02:00:00,57,2
2025-01-14 03:00:00,44,3
2025-01-14 04:00:00,55,4
2025-01-14 05:00:00,54,5
2025-01-14 06:00:00,44,6
2025-01-14 07:00:00,43,7
2025-01-14 08:00:00,52,8
2025-01-14 09:00:00,49,9
2025-01-14 10:00:00,42,10
2025-01-14 11:00:00,70,11
2025-01-14 12:00:00,83,12
2025-01-14 13:00:00,74,13
2025-01-14 14:00:00,52,14
2025-01-14 15:00:00,48,15
2025-01-14 16:00:00,49,16
2025-01-14 17:00:00,99,17
2025-01-14 18:00:00,92,18
2025-01-14 19:00:00,75,19
2025-01-14 20:00:00,97,20
2025-01-14 21:00:00,46,21
2025-01-14 22:00:00,51,22
2025-01-14 23:00:00,47,23
2025-01-15 00:00:00,55,0
2025-01-15 01:00:00,44,1
2025-01-15 02:00:00,41,2
2025-01-15 03:00:00,50,3
2025-01-15 04:00:00,62,4
2025-01-15 05:00:00,52,5
2025-01-15 06:00:00,41,6
2025-01-15 07:00:00,50,7
2025-01-15 08:00:00,37,8
2025-01-15 09:00:00,43,9
2025-01-15 10:00:00,51,10
2025-01-15 11:00:00,76,11
2025-01-15 12:00:00,70,12
2025-01-15 13:00:00,68,13
2025-01-15 14:00:00,42,14
2025-01-15 15:00:00,47,15
2025-01-15 16:00:00,53,16
2025-01-15 17:00:00,95,17
2025-01-15 18:00:00,84,18
2025-01-15 19:00:00,97,19
2025-01-15 20:00:00,93,20
2025-01-15 21:00:00,39,21
2025-01-15 22:00:00,58,22
2025-01-15 23:00:00,54,23
2025-01-16 00:00:00,45,0
2025-01-16 01:00:00,43,1
2025-01-16 02:00:00,43,2
2025-01-16 03:00:00,48,3
2025-01-16 04:00:00,57,4
2025-01-16 05:00:00,45,5
2025-01-16 06:00:00,52,6
2025-01-16 07:00:00,53,7
2025-01-16 08:00:00,51,8
2025-01-16 09:00:00,56,9
2025-01-16 10:00:00,59,10
2025-01-16 11:00:00,80,11
2025-01-16 12:00:00,68,12
2025-01-16 13:00:00,65,13
2025-01-16 14:00:00,53,14
2025-01-16 15:00:00,41,15
2025-01-16 16:00:00,42,16
2025-01-16 17:00:00,80,17
2025-01-16 18:00:00,85,18
2025-01-16 19:00:00,93,19
2025-01-16 20:00:00,83,20
2025-01-16 21:00:00,59,21
2025-01-16 22:00:00,52,22
2025-01-16 23:00:00,48,23
2025-01-17 00:00:00,50,0
2025-01-17 01:00:00,42,1
2025-01-17 02:00:00,38,2
2025-01-17 03:00:00,44,3
2025-01-17 04:00:00,45,4
2025-01-17 05:00:00,55,5
2025-01-17 06:00:00,51,6
2025-01-17 07:00:00,53,7
2025-01-17 08:00:00,55,8
2025-01-17 09:00:00,52,9
2025-01-17 10:00:00,50,10
2025-01-17 11:00:00,66,11
2025-01-17 12:00:00,60,12
2025-01-17 13:00:00,75,13
2025-01-17 14:00:00,54,14
2025-01-17 15:00:00,44,15
2025-01-17 16:00:00,57,16
2025-01-17 17:00:00,85,17
2025-01-17 18:00:00,87,18
2025-01-17 19:00:00,102,19
2025-01-17 20:00:00,106,20
2025-01-17 21:00:00,43,21
2025-01-17 22:00:00,59,22
2025-01-17 23:00:00,57,23
2025-01-18 00:00:00,54,0
2025-01-18 01:00:00,44,1
2025-01-18 02:00:00,65,2
2025-01-18 03:00:00,42,3
2025-01-18 04:00:00,62,4
2025-01-18 05:00:00,54,5
2025-01-18 06:00:00,65,6
2025-01-18 07:00:00,46,7
2025-01-18 08:00:00,44,8
2025-01-18 09:00:00,37,9
2025-01-18 10:00:00,47,10
2025-01-18 11:00:00,56,11
2025-01-18 12:00:00,71,12
2025-01-18 13:00:00,66,13
2025-01-18 14:00:00,60,14
2025-01-18 15:00:00,44,15
2025-01-18 16:00:00,59,16
2025-01-18 17:00:00,99,17
2025-01-18 18:00:00,104,18
2025-01-18 19:00:00,96,19
2025-01-18 20:00:00,90,20
2025-01-18 21:00:00,56,21
2025-01-18 22:00:00,48,22
2025-01-18 23:00:00,44,23
2025-01-19 00:00:00,47,0
2025-01-19 01:00:00,46,1
2025-01-19 02:00:00,32,2
2025-01-19 03:00:00,48,3
2025-01-19 04:00:00,56,4
2025-01-19 05:00:00,48,5
2025-01-19 06:00:00,65,6
2025-01-19 07:00:00,52,7
2025-01-19 08:00:00,65,8
2025-01-19 09:00:00,52,9
2025-01-19 10:00:00,44,10
2025-01-19 11:00:00,64,11
2025-01-19 12:00:00,76,12
2025-01-19 13:00:00,68,13
2025-01-19 14:00:00,54,14
2025-01-19 15:00:00,57,15
2025-01-19 16:00:00,44,16
2025-01-19 17:00:00,92,17
2025-01-19 18:00:00,79,18
2025-01-19 19:00:00,85,19
2025-01-19 20:00:00,99,20
2025-01-19 21:00:00,53,21
2025-01-19 22:00:00,38,22
2025-01-19 23:00:00,47,23
2025-01-20 00:00:00,55,0
2025-01-20 01:00:00,38,1
2025-01-20 02:00:00,54,2
2025-01-20 03:00:00,58,3
2025-01-20 04:00:00,50,4
2025-01-20 05:00:00,58,5
2025-01-20 06:00:00,54,6
2025-01-20 07:00:00,45,7
2025-01-20 08:00:00,57,8
2025-01-20 09:00:00,58,9
2025-01-20 10:00:00,54,10
2025-01-20 11:00:00,74,11
2025-01-20 12:00:00,72,12
2025-01-20 13:00:00,62,13
2025-01-20 14:00:00,59,14
2025-01-20 15:00:00,58,15
2025-01-20 16:00:00,46,16
2025-01-20 17:00:00,82,17
2025-01-20 18:00:00,98,18
2025-01-20 19:00:00,93,19
2025-01-20 20:00:00,93,20
2025-01-20 21:00:00,56,21
2025-01-20 22:00:00,56,22
2025-01-20 23:00:00,69,23
2025-01-21 00:00:00,54,0
2025-01-21 01:00:00,46,1
2025-01-21 02:00:00,37,2
2025-01-21 03:00:00,47,3
2025-01-21 04:00:00,55,4
2025-01-21 05:00:00,56,5
2025-01-21 06:00:00,50,6
2025-01-21 07:00:00,54,7
2025-01-21 08:00:00,48,8
2025-01-21 09:00:00,42,9
2025-01-21 10:00:00,54,10
2025-01-21 11:00:00,58,11
2025-01-21 12:00:00,73,12
2025-01-21 13:00:00,86,13
2025-01-21 14:00:00,49,14
2025-01-21 15:00:00,48,15
2025-01-21 16:00:00,48,16
2025-01-21 17:00:00,100,17
2025-01-21 18:00:00,83,18
2025-01-21 19:00:00,93,19
2025-01-21 20:00:00,99,20
2025-01-21 21:00:00,71,21
2025-01-21 22:00:00,59,22
2025-01-21 23:00:00,56,23
2025-01-22 00:00:00,41,0
2025-01-22 01:00:00,62,1
2025-01-22 02:00:00,57,2
2025-01-22 03:00:00,40,3
2025-01-22 04:00:00,54,4
2025-01-22 05:00:00,43,5
2025-01-22 06:00:00,36,6
2025-01-22 07:00:00,45,7
2025-01-22 08:00:00,46,8
2025-01-22 09:00:00,48,9
2025-01-22 10:00:00,52,10
2025-01-22 11:00:00,74,11
2025-01-22 12:00:00,76,12
2025-01-22 13:00:00,70,13
2025-01-22 14:00:00,41,14
2025-01-22 15:00:00,52,15
2025-01-22 16:00:00,51,16
2025-01-22 17:00:00,86,17
2025-01-22 18:00:00,78,18
2025-01-22 19:00:00,70,19
2025-01-22 20:00:00,88,20
2025-01-22 21:00:00,51,21
2025-01-22 22:00:00,57,22
2025-01-22 23:00:00,42,23
2025-01-23 00:00:00,53,0
2025-01-23 01:00:00,54,1
2025-01-23 02:00:00,55,2
2025-01-23 03:00:00,47,3
2025-01-23 04:00:00,38,4
2025-01-23 05:00:00,51,5
2025-01-23 06:00:00,49,6
2025-01-23 07:00:00,50,7
2025-01-23 08:00:00,38,8
2025-01-23 09:00:00,44,9
2025-01-23 10:00:00,59,10
2025-01-23 11:00:00,63,11
2025-01-23 12:00:00,73,12
2025-01-23 13:00:00,71,13
2025-01-23 14:00:00,43,14
2025-01-23 15:00:00,37,15
2025-01-23 16:00:00,45,16
2025-01-23 17:00:00,99,17
2025-01-23 18:00:00,95,18
2025-01-23 19:00:00,87,19
2025-01-23 20:00:00,99,20
2025-01-23 21:00:00,49,21
2025-01-23 22:00:00,50,22
2025-01-23 23:00:00,61,23
2025-01-24 00:00:00,45,0
2025-01-24 01:00:00,62,1
2025-01-24 02:00:00,53,2
2025-01-24 03:00:00,55,3
2025-01-24 04:00:00,42,4
2025-01-24 05:00:00,72,5
2025-01-24 06:00:00,59,6
2025-01-24 07:00:00,44,7
2025-01-24 08:00:00,49,8
2025-01-24 09:00:00,47,9
2025-01-24 10:00:00,42,10
2025-01-24 11:00:00,91,11
2025-01-24 12:00:00,73,12
2025-01-24 13:00:00,76,13
2025-01-24 14:00:00,44,14
2025-01-24 15:00:00,42,15
2025-01-24 16:00:00,46,16
2025-01-24 17:00:00,88,17
2025-01-24 18:00:00,92,18
2025-01-24 19:00:00,82,19
2025-01-24 20:00:00,93,20
2025-01-24 21:00:00,58,21
2025-01-24 22:00:00,52,22
2025-01-24 23:00:00,43,23
2025-01-25 00:00:00,45,0
2025-01-25 01:00:00,51,1
2025-01-25 02:00:00,32,2
2025-01-25 03:00:00,49,3
2025-01-25 04:00:00,46,4
2025-01-25 05:00:00,32,5
2025-01-25 06:00:00,53,6
2025-01-25 07:00:00,49,7
2025-01-25 08:00:00,50,8
2025-01-25 09:00:00,41,9
2025-01-25 10:00:00,46,10
2025-01-25 11:00:00,63,11
2025-01-25 12:00:00,92,12
2025-01-25 13:00:00,74,13
2025-01-25 14:00:00,59,14
2025-01-25 15:00:00,54,15
2025-01-25 16:00:00,65,16
2025-01-25 17:00:00,90,17
2025-01-25 18:00:00,99,18
2025-01-25 19:00:00,94,19
2025-01-25 20:00:00,84,20
2025-01-25 21:00:00,48,21
2025-01-25 22:00:00,40,22
2025-01-25 23:00:00,59,23
2025-01-26 00:00:00,51,0
2025-01-26 01:00:00,60,1
2025-01-26 02:00:00,46,2
2025-01-26 03:00:00,57,3
2025-01-26 04:00:00,57,4
2025-01-26 05:00:00,57,5
2025-01-26 06:00:00,51,6
2025-01-26 07:00:00,46,7
2025-01-26 08:00:00,48,8
2025-01-26 09:00:00,48,9
2025-01-26 10:00:00,44,10
2025-01-26 11:00:00,64,11
2025-01-26 12:00:00,72,12
2025-01-26 13:00:00,72,13
2025-01-26 14:00:00,47,14
2025-01-26 15:00:00,50,15
2025-01-26 16:00:00,47,16
2025-01-26 17:00:00,92,17
2025-01-26 18:00:00,92,18
2025-01-26 19:00:00,97,19
2025-01-26 20:00:00,107,20
2025-01-26 21:00:00,43,21
2025-01-26 22:00:00,53,22
2025-01-26 23:00:00,47,23
2025-01-27 00:00:00,50,0
2025-01-27 01:00:00,45,1
2025-01-27 02:00:00,57,2
2025-01-27 03:00:00,46,3
2025-01-27 04:00:00,55,4
2025-01-27 05:00:00,48,5
2025-01-27 06:00:00,42,6
2025-01-27 07:00:00,43,7
2025-01-27 08:00:00,54,8
2025-01-27 09:00:00,51,9
2025-01-27 10:00:00,69,10
2025-01-27 11:00:00,77,11
2025-01-27 12:00:00,86,12
2025-01-27 13:00:00,64,13
2025-01-27 14:00:00,52,14
2025-01-27 15:00:00,47,15
2025-01-27 16:00:00,56,16
2025-01-27 17:00:00,97,17
2025-01-27 18:00:00,93,18
2025-01-27 19:00:00,93,19
2025-01-27 20:00:00,92,20
2025-01-27 21:00:00,55,21
2025-01-27 22:00:00,44,22
2025-01-27 23:00:00,52,23
2025-01-28 00:00:00,44,0
2025-01-28 01:00:00,52,1
2025-01-28 02:00:00,54,2
2025-01-28 03:00:00,48,3
2025-01-28 04:00:00,41,4
2025-01-28 05:00:00,55,5
2025-01-28 06:00:00,45,6
2025-01-28 07:00:00,43,7
2025-01-28 08:00:00,44,8
2025-01-28 09:00:00,37,9
2025-01-28 10:00:00,37,10
2025-01-28 11:00:00,64,11
2025-01-28 12:00:00,80,12
2025-01-28 13:00:00,71,13
2025-01-28 14:00:00,46,14
2025-01-28 15:00:00,51,15
2025-01-28 16:00:00,49,16
2025-01-28 17:00:00,91,17
2025-01-28 18:00:00,82,18
2025-01-28 19:00:00,83,19
2025-01-28 20:00:00,79,20
2025-01-28 21:00:00,56,21
2025-01-28 22:00:00,53,22
2025-01-28 23:00:00,63,23
2025-01-29 00:00:00,48,0
2025-01-29 01:00:00,51,1
2025-01-29 02:00:00,50,2
2025-01-29 03:00:00,38,3
2025-01-29 04:00:00,41,4
2025-01-29 05:00:00,56,5
2025-01-29 06:00:00,45,6
2025-01-29 07:00:00,51,7
2025-01-29 08:00:00,48,8
2025-01-29 09:00:00,52,9
2025-01-29 10:00:00,62,10
2025-01-29 11:00:00,60,11
2025-01-29 12:00:00,67,12
2025-01-29 13:00:00,79,13
2025-01-29 14:00:00,57,14
2025-01-29 15:00:00,38,15
2025-01-29 16:00:00,42,16
2025-01-29 17:00:00,87,17
2025-01-29 18:00:00,93,18
2025-01-29 19:00:00,81,19
2025-01-29 20:00:00,102,20
2025-01-29 21:00:00,52,21
2025-01-29 22:00:00,42,22
2025-01-29 23:00:00,48,23
2025-01-30 00:00:00,47,0
2025-01-30 01:00:00,46,1
2025-01-30 02:00:00,49,2
2025-01-30 03:00:00,53,3
2025-01-30 04:00:00,52,4
2025-01-30 05:00:00,42,5
2025-01-30 06:00:00,56,6
2025-01-30 07:00:00,41,7
2025-01-30 08:00:00,46,8
2025-01-30 09:00:00,54,9
2025-01-30 10:00:00,57,10
2025-01-30 11:00:00,66,11
2025-01-30 12:00:00,70,12
2025-01-30 13:00:00,61,13
2025-01-30 14:00:00,49,14
2025-01-30 15:00:00,47,15
2025-01-30 16:00:00,58,16
2025-01-30 17:00:00,96,17
2025-01-30 18:00:00,88,18
2025-01-30 19:00:00,96,19
2025-01-30 20:00:00,91,20
2025-01-30 21:00:00,68,21
2025-01-30 22:00:00,40,22
2025-01-30 23:00:00,49,23
